id,url,tweet,author,created_at,source_file,hasztag/canidate,tweet_clean,tweet_no_stop,tweet_base_no_stop
1924103412427170278,https://x.com/Sta91479299/status/1924103412427170278,"📣PILNE📣 Aktualne ceny na #bazarek wyglądają tak:  Wrotki - 29,74 zł Pince Polo - 29,12 zł Hulajnogi - 17,39 zł Tuńczyk - 6,81 zł Gaśnice - 5,61 zł 3 bit - 5,15 zł Bajgle - 2,82 zł Cola zero - 1,80 zł  #Wybory2025 #WyboryPrezydenckie2025 #wyboryprezydenckie  #bazarekwyborczy",Sta91479299,Sun May 18 14:02:56 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie," pilne  aktualne ceny na bazarek wyglądają tak: wrotki - 29,74 zł pince polo - 29,12 zł hulajnogi - 17,39 zł tuńczyk - 6,81 zł gaśnice - 5,61 zł 3 bit - 5,15 zł bajgle - 2,82 zł cola zero - 1,80 zł wybory2025 wyboryprezydenckie2025 wyboryprezydenckie bazarekwyborczy","pilne aktualne ceny bazarek wyglądają tak: wrotki - 29,74 zł pince polo - 29,12 zł hulajnogi - 17,39 zł tuńczyk - 6,81 zł gaśnice - 5,61 zł 3 bit - 5,15 zł bajgle - 2,82 zł cola zero - 1,80 zł wybory2025 wyboryprezydenckie2025 wyboryprezydenckie bazarekwyborczy","pilny aktualny cena bazarek wyglądać tak: wrotka - 29,74 złoty pinka polo - 29,12 złoty hulajnoga - 17,39 złoty tuńczyk - 6,81 złoty gaśnica - 5,61 złoty 3 bit - 5,15 złoty bajgle - 2,82 złoty cola zero - 1,80 złoty wybory2025 wyboryprezydenckie2025 wyboryprezydencki bazarekwyborcze"
1924101913777246342,https://x.com/malgosia_ka_/status/1924101913777246342,#WyboryPrezydenckie2025  #wyboryprezydenckie  #Wybory2025 🇵🇱👇,malgosia_ka_,Sun May 18 13:56:58 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie, wyboryprezydenckie2025 wyboryprezydenckie wybory2025   ,wyboryprezydenckie2025 wyboryprezydenckie wybory2025,wyboryprezydenckie2025 wyboryprezydencki wybory2025
1924101263622365652,https://x.com/CLRG_Pro/status/1924101263622365652,‼️Dzieje się prosze Państwa‼️ Według najnowszego bazarku2025 🟦 hantel 28 ⬛️ hulajnoga 27 🟧 prince polo 21 🟫 gaśnice 8 🟨 chihuahua 6 🟪 skandawia 5 #WyboryPrezydenckie2025 #wyboryprezydenckie #wybory #wybory2025,CLRG_Pro,Sun May 18 13:54:23 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie, dzieje się prosze państwa  według najnowszego bazarku2025   hantel 28   hulajnoga 27   prince polo 21   gaśnice 8   chihuahua 6   skandawia 5 wyboryprezydenckie2025 wyboryprezydenckie wybory wybory2025,dzieje prosze państwa najnowszego bazarku2025 hantel 28 hulajnoga 27 prince polo 21 gaśnice 8 chihuahua 6 skandawia 5 wyboryprezydenckie2025 wyboryprezydenckie wybory wybory2025,dziać prosze państwo najnowszego bazarku2025 hantel 28 hulajnoga 27 prince polo 21 gaśnica 8 chihuahua 6 skandawie 5 wyboryprezydenckie2025 wyboryprezydencki wybory wybory2025
1924100620761415966,https://x.com/NikodemCygan/status/1924100620761415966,"Najlepszy mecz, który chyba w tym sezonie oglądam. Podaje piłkę na lewa nogę i uderza z całej siły z 20 metrów. MAESTRO. #wyboryprezydenckie #Wybory #S04ELV https://t.co/kq8jhugwyh",NikodemCygan,Sun May 18 13:51:50 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie,"najlepszy mecz, który chyba w tym sezonie oglądam. podaje piłkę na lewa nogę i uderza z całej siły z 20 metrów. maestro. wyboryprezydenckie wybory s04elv ","najlepszy mecz, chyba sezonie oglądam. podaje piłkę lewa nogę uderza całej siły 20 metrów. maestro. wyboryprezydenckie wybory s04elv","dobry mecz, chyba sezon oglądać. podawać piłka lewy noga uderzać cały siła 20 metr. maestro. wyboryprezydencki wybory s04elv"
1924100300631134313,https://x.com/Kwiatkowski2011/status/1924100300631134313,"🧐 Jak najlepiej ZGUBIĆ STRES czekając na wyniki ⁉️  👉 Szczególnie, gdy docierają różne informacje… 😉  👉 Najlepiej iść POBIEGAĆ🏃‍♂️‍➡️  #wybory #Wybory2025 #wyboryprezydenckie https://t.co/ed8waMlMZE",Kwiatkowski2011,Sun May 18 13:50:34 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie,"  jak najlepiej zgubić stres czekając na wyniki     szczególnie, gdy docierają różne informacje…     najlepiej iść pobiegać  wybory wybory2025 wyboryprezydenckie ","najlepiej zgubić stres czekając wyniki szczególnie, docierają różne informacje… najlepiej iść pobiegać wybory wybory2025 wyboryprezydenckie","dobrze zgubić stres czekać wynik szczególnie, docierać różny informacja … dobrze iść pobiegać wybory wybory2025 wyboryprezydencki"
1924100019256262719,https://x.com/wokolparlamentu/status/1924100019256262719,https://t.co/xlXm4goI0c Informacje o frekwencji oraz  przebiegu głosowania w wyborach prezydenckich do godz. 12.00  Konferencja prasowa członków Państwowej Komisji Wyborczej z dnia 18.05.25  #polityka #pkw #sejm #polskapolityka #wyboryprezydenckie #wybory2025,wokolparlamentu,Sun May 18 13:49:27 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie, informacje o frekwencji oraz przebiegu głosowania w wyborach prezydenckich do godz. 12.0 konferencja prasowa członków państwowej komisji wyborczej z dnia 18.05.25 polityka pkw sejm polskapolityka wyboryprezydenckie wybory2025,informacje frekwencji przebiegu głosowania wyborach prezydenckich godz. 12.0 konferencja prasowa członków państwowej komisji wyborczej dnia 18.05.25 polityka pkw sejm polskapolityka wyboryprezydenckie wybory2025,informacja frekwencja przebieg głosować wybory prezydencki godzina. 12. 0 konferencja prasowy członek państwowy komisja wyborczy dzień 18. 05. 25 polityka pkw sejm polskapolitykać wyboryprezydencki wybory2025
1924099767849591255,https://x.com/MalgoNiew/status/1924099767849591255,"Dajcie spokój z wrotkami! Widzicie jakie one są roztrzaskane! Zjedzcie lepiej Raffaello, albo Prince polo! To bezpieczniejszy wybór!  #WyboryPrezydenckie2025  #wyboryprezydenckie https://t.co/z8xyh3MCxi",MalgoNiew,Sun May 18 13:48:27 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie,"dajcie spokój z wrotkami! widzicie jakie one są roztrzaskane! zjedzcie lepiej rafaelo, albo prince polo! to bezpieczniejszy wybór! wyboryprezydenckie2025 wyboryprezydenckie ","dajcie spokój wrotkami! widzicie roztrzaskane! zjedzcie lepiej rafaelo, prince polo! bezpieczniejszy wybór! wyboryprezydenckie2025 wyboryprezydenckie","dać spokój wrotk! widzić roztrzaskany! zjedzcie dobrze rafaelo, prinka polo! bezpieczniejszy wybór! wyboryprezydenckie2025 wyboryprezydencki"
1924099690749903211,https://x.com/NikodemCygan/status/1924099690749903211,Co tu się odwaliło? Co za wolej? Co za meczycho się robi?  Przepiękny gol Şahina uderzenie z ok. 25m prosto w okienko. Elversberg jednym krokiem w barażach. #wyboryprezydenckie #Wybory #S04ELV https://t.co/lteB9eK6Ce,NikodemCygan,Sun May 18 13:48:08 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie,co tu się odwaliło? co za wolej? co za meczycho się robi? przepiękny gol şahina uderzenie z ok. 25m prosto w okienko. elversberg jednym krokiem w barażach. wyboryprezydenckie wybory s04elv ,odwaliło? wolej? meczycho robi? przepiękny gol şahina uderzenie ok. 25m prosto okienko. elversberg krokiem barażach. wyboryprezydenckie wybory s04elv,odwalić? wolej? meczycho robić? przepiękny gol şahina uderzenie około. 25 metr prosto okienko. elversberg krok barażach. wyboryprezydencki wybory s04elv
1924098349524828162,https://x.com/marcin_aleksa/status/1924098349524828162,"#SzaCichoSzaCzasNaCisze Licho nie śpi, dlatego⤵️ #IdziemyNaWybory  #wyboryprezydenckie https://t.co/KZ2u8W5d2d",marcin_aleksa,Sun May 18 13:42:49 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie," szacichoszaczasnacisze licho nie śpi, dlatego  idziemynawybory wyboryprezydenckie ","szacichoszaczasnacisze licho śpi, idziemynawybory wyboryprezydenckie","szacichoszaczasnacisze licho spać, idziemynawybora wyboryprezydencki"
1924098152832930004,https://x.com/KWS_QQ/status/1924098152832930004,Wszyscy bitcoiniarze na nawr*ckiego! #NaWrotki2025 #WyboryPrezydenckie2025 #Wybory #wyboryprezydenckie #PIS https://t.co/MH4k1dq8lK,KWS_QQ,Sun May 18 13:42:02 +0000 2025,tweets__WyboryPrezydenckie_20250520_192216.csv,tweets__WyboryPrezydenckie,wszyscy bitcoiniarze na nawr*ckiego! nawrotki2025 wyboryprezydenckie2025 wybory wyboryprezydenckie pis ,bitcoiniarze nawr*ckiego! nawrotki2025 wyboryprezydenckie2025 wybory wyboryprezydenckie pis,bitcoiniarz nawr*cki! nawrotki2025 wyboryprezydenckie2025 wybory wyboryprezydencki pis
